"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Ozford College","c(-37.8128, 144.954)","All sectors","02427A","Ozford College Pty Ltd","Ozford College","Ozford College Pty Ltd","No","0.4","International student data 14/01/2018",144.954,-37.8128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"Ozford College of Business","c(-37.8083, 144.968)","VET","02573B","Ozford Business College Pty Ltd","Ozford College of Business","Ozford College of Business, 42-46 La Trobe Street","No","0.7","International student data 14/01/2018",144.968,-37.8083,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pearson Aviation, Essendon Airport","c(-37.7498, 144.911)","VET","03017M","Pearson Aviation Pty Ltd","Pearson Aviation Pty Ltd","Pearson Aviation Pty Ltd","No","0.4","International student data 14/01/2018",144.911,-37.7498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photography Studies College (PSC), Melbourne Campus","c(-37.8221, 144.966)","Higher Education","00257G","Photography Holdings Pty Ltd","Photography Studies College (Melbourne)","Photography Holdings Pty Ltd","No","0.4","International student data 14/01/2018",144.966,-37.8221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Planetshakers College","c(-37.8289, 144.955)","All sectors","00958A","Alphacrucis College Limited","Alphacrucis College","Planetshakers College Southbank","No","0.6","International student data 14/01/2018",144.955,-37.8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"SAE Institute Qantm College, Melbourne Campus","c(-37.8296, 144.948)","Higher Education","00312F","SAE Institute Pty Ltd","SAE Creative Media Institute","SAE Qantm Creative Media Institute, Melbourne","No","0.8","International student data 14/01/2018",144.948,-37.8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Royal Gurkhas Institute of Technology (RGIT) Australia, Gurkhas Institute of Hospitality & Management","c(-37.8171, 144.964)","VET","03002G","OAKHILL EDUCATION GROUP AUSTRALIA PTY LTD","Royal Gurkhas Institute of Technology (RGIT) Australia","Royal Gurkhas Institute of Technology (RGIT) Australia, 43-45 Elizabeth Street MELBOURNE VIC 3000","No","0.7","International student data 14/01/2018",144.964,-37.8171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"School for F.M. Alexander Studies","c(-37.7803, 144.987)","VET","02438J","Einstein's Moon Pty Ltd","School for F.M. Alexander Studies","Einstein's Moon Pty Ltd","No","0.4","International student data 14/01/2018",144.987,-37.7803,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baxter Institute, Automotive & Bakery Campus","c(-37.8244, 144.961)","All sectors","02233M","Sheila Baxter Training Centre Pty Ltd","Baxter Institute","Baxter Institute, 93 Queensbridge Street","No","1.3","International student data 14/01/2018",144.961,-37.8244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"South Pacific Institute (SPI), Melbourne Campus","c(-37.806, 144.983)","All sectors","02857A","Sher-E-Punjab Pty Ltd","South Pacific Institute","Fitzroy","No","0.7","International student data 14/01/2018",144.983,-37.806,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Southern School of Natural Therapies","c(-37.7987, 144.976)","Higher Education","00246M","Think: Colleges Pty Ltd","Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Jansen Newman Institute, Southern School of Natural Therapies, William Blue College of Hospitality Management, Australian ","Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Jansen Newman Institute, Southern School of Natural Therapies, William Blue College of Hospitality Management, Australian , 25 Victoria Street, Fitzroy VIC 3065","No","0.4","International student data 14/01/2018",144.976,-37.7987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Technical Institute of Victoria","c(-37.8485, 145.002)","VET","02924F","Spice Telecom Australia Pty Ltd","Technical Institute of Victoria","Spice Telecom Australia Ptd Ltd (Hospitality, Prahan)","No","0.4","International student data 14/01/2018",145.002,-37.8485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strathfield College, Melbourne Campus","c(-37.816, 144.96)","ELICOS","02736K","Strathfield College Pty Ltd","Strathfield College, Sydney Jacaranda College","Strathfield College, Sydney Jacaranda College, Level 2, 422 Little Collins Street, Melbourne, VIC, 3000","No","0.6","International student data 14/01/2018",144.96,-37.816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Charles Sturt University Study Centres, Melbourne","c(-37.817, 144.958)","Higher Education","00005F","Charles Sturt University (CSU)","Charles Sturt University","CSU Study Centre Melbourne","No","1.5","International student data 14/01/2018",144.958,-37.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Sunshine College of Management","c(-37.7864, 144.834)","VET","02835G","Sunshine College of Management Pty Ltd","Sunshine College of Management Pty Ltd","Sunshine College of Management Pty Ltd","No","0.9","International student data 14/01/2018",144.834,-37.7864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Swinburne University of Technology, Prahan Campus","c(-37.8518, 144.992)","All sectors","00111D","Swinburne University of Technology","Swinburne University of Technology,Prahran Campus– 144 High Street Prahran– Swinburne University","Swinburne University of Technology,Prahran Campus– 144 High Street Prahran– Swinburne University, Prahran Campus– 144 High Street Prahran– Swinburne University","No","0.7","International student data 14/01/2018",144.992,-37.8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0
"Swinburne University of Technology, Hawthorn Campus","c(-37.8221, 145.039)","All sectors","00111D","Swinburne University of Technology","Swinburne University of Technology,Hawthorn Campus– John Street Hawthorn– Swinburne University","Hawthorn Campus– John Street Hawthorn– Swinburne University","No","0.8","International student data 14/01/2018",145.039,-37.8221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0
"TAFE NSW – Riverina Institute","c(-34.2867, 146.037)","All sectors","00591E","Technical and Further Education Commission","TAFE NSW Technical and Further Education Commission; TAFE NSW Higher Education","Grifith","Yes","0.4","International student data 14/01/2018",146.037,-34.2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"The Australian Conservatoire of Ballet, Melbourne Campus","c(-37.813, 144.998)","VET","02020B","Christine Walsh Enterprises Pty Ltd","The Australian Conservatoire of Ballet","Christine Walsh Enterprises Pty Ltd","No","0.8","International student data 14/01/2018",144.998,-37.813,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMG College","c(-37.8206, 145.126)","VET","03397E","The Malka Group Pty Ltd","The Malka Group - TMG Training and Consulting, TMG College Australia","The Malka Group - TMG Training and Consulting, TMG College Australia, 29 Ellingworth Parade","No","0.8","International student data 14/01/2018",145.126,-37.8206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Melbourne University, Trinity College","c(-37.8011, 144.964)","Non-award","00709G","Trinity College","Trinity College","Trinity College (The University of Melbourne precinct)","No","0.4","International student data 14/01/2018",144.964,-37.8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
"Technical Education Development Institute","c(-37.815, 144.955)","All sectors","03221G","True Education Pty Ltd","Technical Education Development Institute","True Education Pty Ltd","No","0.9","International student data 14/01/2018",144.955,-37.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Universal Institute of Technology","c(-37.8155, 144.961)","ELICOS","02946M","Universal Institute of Technology Pty Ltd","Universal Institute of Technology,Universal English","Universal Institute of Technology,Universal English, Level 1, 131 Queen St Melbourne","No","0.8","International student data 14/01/2018",144.961,-37.8155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Victoria University, Footscray Park","c(-37.7936, 144.897)","All sectors","00124K","Victoria University","Victoria University","Victoria University Footscray Park","No","0.4","International student data 14/01/2018",144.897,-37.7936,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, St Albans","c(-37.7454, 144.805)","All sectors","00124K","Victoria University","Victoria University","Victoria University St Albans","No","1","International student data 14/01/2018",144.805,-37.7454,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, Melbourne Campus","c(-37.8172, 144.956)","Higher Education","00665C","The Australian Institute of Music Limited","The Australian Institute of Music","Melbourne Campus","No","0.6","International student data 14/01/2018",144.956,-37.8172,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, Werribee","c(-37.8922, 144.701)","All sectors","00124K","Victoria University","Victoria University","Victoria University Werribee","No","0.4","International student data 14/01/2018",144.701,-37.8922,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, Sunshine","c(-37.7777, 144.837)","VET","00124K","Victoria University","Victoria University","Victoria University Sunshine","No","0.4","International student data 14/01/2018",144.837,-37.7777,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, City Queen","c(-37.8125, 144.959)","Higher Education","00124K","Victoria University","Victoria University","Victoria University City Queen","No","0.4","International student data 14/01/2018",144.959,-37.8125,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, Footscray Nicholson","c(-37.8039, 144.899)","Higher Education","00124K","Victoria University","Victoria University","Victoria University Footscray Nicholson","No","0.6","International student data 14/01/2018",144.899,-37.8039,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Victoria University, City Flinders","c(-37.8182, 144.964)","Higher Education","00124K","Victoria University","Victoria University","Victoria University City Flinders","No","1.8","International student data 14/01/2018",144.964,-37.8182,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,23,0,7
"Whitehouse Institute of Design, Australia","c(-37.8167, 144.953)","Higher Education","02863C","Whitehouse Institute Pty Ltd","Whitehouse Institute of Design, Australia","Whitehouse Institute of Design (VIC)","No","0.4","International student data 14/01/2018",144.953,-37.8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Yorke Institute","c(-37.8109, 144.992)","VET","02893G","Yorke Institute Pty Ltd","Yorke Institute","Yorke Institute, 13 Elizabeth Street, Richmond - Yorke Institute Pty Ltd","No","0.4","International student data 14/01/2018",144.992,-37.8109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
"Chisholm Institute, Dandenong Campus","c(-38.0421, 145.342)","VET","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Berwick Campus - 25 Kangan Drive","Yes","0.4","International student data 14/01/2018",145.342,-38.0421,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Chisholm Institute, Flinders Lane Campus","c(-37.891933, 144.9230619)","All sectors","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Chisholm Institute of TAFE, 238 Flinders Lane, Melbourne 3000","Yes","0.4","International student data 14/01/2018",144.9230619,-37.891933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chisholm Institute, Cranbourne Campus","c(-38.0434277, 145.1882625)","VET","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Chisholm Institute of TAFE, Holland Drive Cranbourne 3977","Yes","1.5","International student data 14/01/2018",145.1882625,-38.0434277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chisholm Institue, Chisholm At 331","c(-37.975611, 145.2197441)","All sectors","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Chisholm Institute of TAFE, 331 Lonsdale Street Dandenong 3175","Yes","0.4","International student data 14/01/2018",145.2197441,-37.975611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chisholm Institute, Melbourne City Campus","c(-37.8130231, 144.9584356)","Higher Education","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Chisholm Institute of TAFE, Melbourne City Campus, 399 Lonsdale Street Melbourne 3000","Yes","0.4","International student data 14/01/2018",144.9584356,-37.8130231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chisholm Institute, Bass Coast","c(-38.5888765, 145.5787101)","VET","00881F","Chisholm Institute","Chisholm Institute","Chisholm Institute, Chisholm Institute of TAFE, Bass Coast Campus, Bass Highway, Dudley 3995","Yes","0.4","International student data 14/01/2018",145.5787101,-38.5888765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australian College of Theology","c(-37.7974, 145.119)","All sectors","02650E","Australian College of Theology Limited","Australian College of Theology","Presbyterian Theological College","Yes","0.4","International student data 14/01/2018",145.119,-37.7974,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Presbyterian Theological College, Box Hill Campus","c(-37.7973, 145.1169183)","All sectors","02650E","Australian College of Theology Limited","Australian College of Theology","Australian College of Theology, Presbyterian Theological College, Box Hill Campus, 684 Elgar Rd, Box Hill North VIC 3129","Yes","0.4","International student data 14/01/2018",145.1169183,-37.7973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reformed Theological College, Geelong Campus","c(-38.1898693, 144.3019719)","All sectors","02650E","Australian College of Theology Limited","Australian College of Theology","Australian College of Theology, Reformed Theological College, Geelong Campus, 125 Pigdons Rd, Waurn Ponds VIC 3216","Yes","0.4","International student data 14/01/2018",144.3019719,-38.1898693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ridley College, Parkville Campus","c(-37.7837187, 144.9551728)","All sectors","02650E","Australian College of Theology Limited","Australian College of Theology","Australian College of Theology, Ridley College, Parkville Campus,  170 The Avenue, Parkville VIC 3052","Yes","0.4","International student data 14/01/2018",144.9551728,-37.7837187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pilgrim Theological College","c(-37.793, 144.959)","Higher Education","01037A","University of Divinity","University of Divinity","Pilgrim Theological College","No","0.6","International student data 14/01/2018",144.959,-37.793,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Trinity College Theological School","c(-37.7889, 144.959)","Higher Education","01037A","University of Divinity","University of Divinity","Trinity College","No","0.4","International student data 14/01/2018",144.959,-37.7889,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Catholic Theological College (CTC), Melbourne College of Divinity - East Melbourne Campus","c(-37.8091, 144.981)","Higher Education","01037A","University of Divinity","University of Divinity","Catholic Theological College","No","0.6","International student data 14/01/2018",144.981,-37.8091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"University of Divinity, Yarra Theological Union","c(-37.9278, 145.195)","All sectors","01037A","University of Divinity","University of Divinity","Stirling Theological College","No","0.4","International student data 14/01/2018",145.195,-37.9278,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Univeristy of Divinity, Whitley College","c(-37.7872, 144.959)","All sectors","01037A","University of Divinity","University of Divinity","Whitley College","No","0.8","International student data 14/01/2018",144.959,-37.7872,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"University of Divinity, Stirling College","c(-37.8258, 145.135)","Higher Education","01037A","University of Divinity","University of Divinity","Yarra Theological Union","No","0.8","International student data 14/01/2018",145.135,-37.8258,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"Southern Cross Education Institute (SCEI), Melbourne Main Campus","c(-37.789766, 144.9375133)","All sectors","0293D","Southern Cross Education Institute Pty Ltd","Southern Cross Education Institute (SCEI)","Main Campus","Yes",NA,NA,144.9375133,-37.789766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southern Cross Education Institute (SCEI), Second Campus","c(-37.7943072, 144.9365407)","All sectors","0293D","Southern Cross Education Institute Pty Ltd","Southern Cross Education Institute (SCEI)","Second Campus","Yes",NA,NA,144.9365407,-37.7943072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southern Cross Education Institute (SCEI), Third Campus","c(-37.8066033, 144.9500792)","All sectors","0293D","Southern Cross Education Institute Pty Ltd","Southern Cross Education Institute (SCEI)","Third Campus","Yes",NA,NA,144.9500792,-37.8066033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St Peter Institute, Bourke Street Campus","c(-37.8138, 144.965)","All sectors","03167G","Angel United Group Pty. Ltd.","St. Peters Institute","St. Peters Institute, Level 2 Leviathan Building, 271-281 Bourke Street","Yes","1.4","International student data 14/01/2018",144.965,-37.8138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"St Peter Institute, Little Collins Campus","c(-37.8154536, 144.961241)","All sectors","03167G","Angel United Group Pty. Ltd.","St. Peters Institute","Little Collins Campus","Yes","1.4","International student data 14/01/2018",144.961241,-37.8154536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turner English, Camberwell Campus","c(-37.8469, 145.064)","ELICOS","03472K","Education Hub Pty Ltd","Turner English","Camberwell Campus","No","0.4","International student data 14/01/2018",145.064,-37.8469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Turner English, Melbourne CBD Campus","c(-37.813305, 144.9574055)","ELICOS","03472K","Education Hub Pty Ltd","Turner English","Melbourne CBD Campus","No","0.4","International student data 14/01/2018",144.9574055,-37.813305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turner English, Box Hill Campus","c(-37.8178803, 145.1226304)","ELICOS","03472K","Education Hub Pty Ltd","Turner English","Box Hill Campus","No","0.4","International student data 14/01/2018",145.1226304,-37.8178803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turner English, Dandenong Campus","c(-37.9884831, 145.2126755)","ELICOS","03472K","Education Hub Pty Ltd","Turner English","Dandenong Campus","No","0.4","International student data 14/01/2018",145.2126755,-37.9884831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victorian Institute of Culinary Arts & Technology, Regional Campus 2 - Kerang Wellington st","c(-35.7332, 143.919)","All sectors","02797G","G Plus G Global Trading Pty Ltd","Victorian Institute of Culinary Arts & Technology","Scoresby St","Yes","0.4","International student data 14/01/2018",143.919,-35.7332,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Victorian Institute of Culinary Arts & Technology, Regional Campus 1 - Kerang Scoresby st","c(-35.7331741, 143.9169341)","VET","02797G","G Plus G Global Trading Pty Ltd","Victorian Institute of Culinary Arts & Technology","Victorian Institute of Culinary Arts & Technology, 62-64 Wellington St","Yes","0.4","International student data 14/01/2018",143.9169341,-35.7331741,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Victorian Institute of Culinary Arts & Technology, Main Campus - Spotswood","c(-37.8285, 144.887)","VET","02797G","G Plus G Global Trading Pty Ltd","Victorian Institute of Culinary Arts & Technology","Victorian Institute of Culinary Arts & Technology, 208 Hall Street","No","1","International student data 14/01/2018",144.887,-37.8285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Victorian Institute of Culinary Arts & Technology, Regional Campus 3 - Shepparton","c(-36.3815479, 145.3972986)","All sectors","02797G","G Plus G Global Trading Pty Ltd","Victorian Institute of Culinary Arts & Technology","359 Wyndham Street, Shepparton 3630 Victoria, Australia","Yes","0.4","International student data 14/01/2018",145.3972986,-36.3815479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIT (Victorian Institute of Technology), Melbourne CBD Campus","c(-37.8158, 144.961)","All sectors","02044E","Victorian Institute of Technology Pty Ltd","VIT (Victorian Institute of Technology)","VIT (Victorian Institute of Technology), Levels 3, 10,11 & 14, 123 Queen Street","No","0.8","International student data 14/01/2018",144.961,-37.8158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"VIT (Victorian Institute of Technology), Abbotsford Campus","c(-37.8009405, 145.0001593)","All sectors","02044E","Victorian Institute of Technology Pty Ltd","VIT (Victorian Institute of Technology)","413 Johnston Street Abbotsford VIC  3067 Australia","No","0.8","International student data 14/01/2018",145.0001593,-37.8009405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ashton College, Footscray Campus","c(-37.8035, 144.899)","ELICOS","03142F","Ashton College Pty. Ltd.","Ashton College; Ashton English","Ashton College; Ashton English, 213 Nicholson St","No","0.4","International student data 14/01/2018",144.899,-37.8035,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Ashton College, Hospitality Campus","c(-37.7982, 144.897)","All sectors","03142F","Ashton College Pty. Ltd.","Ashton College; Ashton English","Ashton Hotel School","No","0.4","International student data 14/01/2018",144.897,-37.7982,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Ashton College, Hallam Campus","c(-38.0187, 145.269)","VET","03142F","Ashton College Pty. Ltd.","Ashton College; Ashton English","Hallam","No","0.4","International student data 14/01/2018",145.269,-38.0187,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
